Company,Sales,Expenses,OPM,OPM%,PBT,PAT,EPS
eicher,1.0,4627.93,190.65,19065.0,-3.0,-5.0,
frontspring,27406.0,616218.0,5971.0,21.79,5105.0,,
inoxwind,94742.0,81967.0,5306.0,5.6,-1.0,,
pocl,6.0,5.0,5.0,83.33,-1.0,-5.0,
thangamayil,,,0.0,0.0,,,
