Company,Sales,Expenses,OPM,OPM%,PBT,PAT,EPS
eicher,1.0,0.0,-339.99,-33999.0,0.0,0.0,0.0
frontspring,0.0,0.0,5053.0,0.0,5105.0,0.0,0.0
inoxwind,94742.0,0.0,-17848.0,-18.84,0.0,0.0,0.0
pocl,63451.39,58816.0,605.16,0.95,-1.0,-5.0,0.0
thangamayil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
