Company,Sales,Expenses,OPM,OPM%,PBT,PAT,EPS
eicher,5902.07,4627.93,1552.79,26.31,1614.13,1208.01,
frontspring,27406.0,616218.0,5971.0,21.79,5105.0,,
inoxwind,,81967.0,18082.0,0.0,30623.0,,
pocl,3451.39,8816.0,852.0,24.69,789.15,557.53,
thangamayil,,,0.0,0.0,,,
