Company,Sales,Expenses,OPM,OPM%,PBT,PAT,EPS
eicher,1.0,,1.0,100.0,1.0,1.0,
frontspring,,,0.0,0.0,,,
inoxwind,116247.0,81967.0,26766.0,23.03,-1.0,8671.0,
pocl,177.24,114949.41,4011.09,2263.08,2332.99,6312.92,
thangamayil,,,0.0,0.0,,,
