Company,Sales,Expenses,OPM,OPM%,PBT,PAT,EPS
eicher,1.0,4627.93,1481.93,148193.0,1614.13,1208.01,0.0
frontspring,0.0,0.0,510497.0,0.0,510549.0,0.0,0.0
inoxwind,94742.0,81967.0,36455.0,38.48,30623.0,0.0,0.0
pocl,63451.39,58816.0,5525.22,8.71,4789.15,3557.53,0.0
thangamayil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
