Company,Sales,Expenses,OPM,OPM%,PBT,PAT,EPS
eicher,5902.07,4627.93,1468.7,24.88,1614.13,1208.01,0.0
frontspring,0.0,0.0,5.10549499231704e+25,0.0,5.105494992317041e+25,0.0,0.0
inoxwind,0.0,81967.0,18082.0,0.0,30623.0,0.0,0.0
pocl,63451.39,58816.0,5352.0,8.43,4789.15,3557.53,0.0
thangamayil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
