Company,Sales,Expenses,OPM,OPM%,PBT,PAT,EPS
eicher,5811.0,0.0,0.0,0.0,0.0,0.0,0.0
frontspring,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inoxwind,94742.0,81967.0,25740.0,27.17,11631.0,8671.0,0.0
pocl,63451.39,58816.0,58428.69,92.08,4789.15,3557.53,0.0
thangamayil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
